"SequenceFeature.primaryIdentifier","SequenceFeature.featureType","SequenceFeature.secondaryIdentifier","SequenceFeature.symbol","SequenceFeature.description","SequenceFeature.sgdAlias","SequenceFeature.qualifier"
"S000005068","ORF","YNL124W","NAF1","RNA-binding protein required for the assembly of box H/ACA snoRNPs; thus required for pre-rRNA processing; forms a complex with Shq1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p; similar to Gar1p","RNA-binding snoRNP assembly protein","Verified"
"S000005069","ORF","YNL125C","ESBP6","Protein with similarity to monocarboxylate permeases; appears not to be involved in transport of monocarboxylates such as lactate, pyruvate or acetate across the plasma membrane","MCH3","Verified"
"S000005070","ORF","YNL126W","SPC98","Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex; interacts with Spc110p at the spindle pole body (SPB) inner plaque and with Spc72p at the SPB outer plaque","","Verified"
"S000005071","ORF","YNL127W","FAR11","Protein involved in recovery from cell cycle arrest; acts in response to pheromone; also involved in regulation of intra-S DNA damage checkpoint and autophagy; is essential for dephosphorylation of Atg13p; interacts with Far3p, Far7p, Far8p, Far9p, Far10p and with the phosphatases Pph21p, Pph22p and Pph3p; has similarity to the N- and C-termini of N. crassa HAM-2; similar to human Fam40A and Fam40B","","Verified"
"S000005072","ORF","YNL128W","TEP1","PTEN homolog with no demonstrated inositol lipid phosphatase activity; plays a role in normal sporulation; homolog of human tumor suppressor gene PTEN/MMAC1/TEP1 and fission yeast ptn1","putative phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase","Verified"
"S000005073","ORF","YNL129W","NRK1","Nicotinamide riboside kinase; catalyzes the phosphorylation of nicotinamide riboside and nicotinic acid riboside in salvage pathways for NAD+ biosynthesis","ribosylnicotinamide kinase","Verified"
"S000005074","ORF","YNL130C","CPT1","Cholinephosphotransferase; required for phosphatidylcholine biosynthesis and for inositol-dependent regulation of EPT1 transcription; CPT1 has a paralog, EPT1, that arose from the whole genome duplication","diacylglycerol cholinephosphotransferase","Verified"
"S000005075","ORF","YNL131W","TOM22","Component of the TOM (Translocase of Outer Membrane) complex; responsible for initial import of mitochondrially directed proteins; mediates interaction between TOM and TIM complexes and acts as a receptor for precursor proteins","MAS17|MAS22|MOM22","Verified"
"S000005076","ORF","YNL132W","KRE33","Acetyltransferase required for biogenesis of small ribosomal subunit; responsible for incorporation of N4-acetylcytidine into mRNAs; heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance; essential gene; NAT10, the human homolog, implicated in several types of cancer and premature aging","ribosome biosynthesis protein KRE33|RRA1","Verified"
"S000005077","ORF","YNL133C","FYV6","Protein of unknown function; required for survival upon exposure to K1 killer toxin; proposed to regulate double-strand break repair via non-homologous end-joining","","Verified"
"S000005078","ORF","YNL134C","","NADH-dependent aldehyde reductase, involved in detoxification of furfural; expression is up-regulated in the presence of furfural and 5-hydroxymethylfurfural, which are compounds generated during lignocellulosic biomass pre-treatment; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress","","Verified"
"S000005079","ORF","YNL135C","FPR1","Peptidyl-prolyl cis-trans isomerase (PPIase); binds to the drugs FK506 and rapamycin; also binds to the nonhistone chromatin binding protein Hmo1p and may regulate its assembly or function; associates with promoters of ribosomal protein genes; N-terminally propionylated in vivo; mutation is functionally complemented by human FKBP1A","FKB1|peptidylprolyl isomerase FPR1|RBP1","Verified"
"S000005080","ORF","YNL136W","EAF7","Subunit of the NuA4 histone acetyltransferase complex; NuA4 acetylates the N-terminal tails of histones H4 and H2A","","Verified"
"S000005081","ORF","YNL137C","NAM9","Mitochondrial ribosomal component of the small subunit","mitochondrial 37S ribosomal protein NAM9|MNA6|uS4m","Verified"
"S000005082","ORF","YNL138W","SRV2","CAP (cyclase-associated protein); N-terminus binds adenylate cyclase and facilitates activation by RAS; N-terminus forms novel hexameric star-shaped shuriken structures that directly catalyze cofilin-mediated severing of actin filaments; C-terminus binds and recycles cofilin bound, ADP-actin monomers, facilitating regulation of actin dynamics and cell morphogenesis; N- and C-termini can function as physically separate proteins; mCAP1 is the mouse homolog","adenylate cyclase-binding protein|CAP","Verified"
"S000005083","ORF","YNL139C","THO2","Subunit of the THO complex; THO is required for efficient transcription elongation and involved in transcriptional elongation-associated recombination; required for LacZ RNA expression from certain plasmids","LDB5|RLR1|ZRG13","Verified"
"S000005084","ORF","YNL140C","","Protein of unknown function; expressed at both mRNA and protein levels; partially overlaps THO2/YNL139C","","Uncharacterized"
"S000005085","ORF","YNL141W","AAH1","Adenine deaminase (adenine aminohydrolase); converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and growth phase; Aah1p degraded upon entry into quiescence via SCF and the proteasome","adenine deaminase","Verified"
"S000005086","ORF","YNL142W","MEP2","Ammonium permease involved in regulation of pseudohyphal growth; belongs to Mep-Amt-Rh family of well-conserved ammonium (NH4+) transporters that includes human Rh factors; expression is under the nitrogen catabolite repression regulation; activity is controlled by phospho-silencing; phosphorylation of Mep2 mediated by Npr1; dephosphorylation involves Psr1p and Psr2p","ammonium permease MEP2","Verified"
"S000005087","ORF","YNL143C","","Protein of unknown function; expressed at both mRNA and protein levels","","Uncharacterized"
"S000005088","ORF","YNL144C","","Putative protein of unknown function; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; contains a PH domain and binds phosphatidylinositols and phosphatidylethanolamine in a large-scale study; YNL144C has a paralog, YHR131C, that arose from the whole genome duplication","","Uncharacterized"
"S000005089","ORF","YNL145W","MFA2","Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1","mating pheromone a","Verified"
"S000005090","ORF","YNL146W","","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YNL146W is not an essential gene","","Uncharacterized"
"S000005091","ORF","YNL147W","LSM7","Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress","Sm-like protein LSM7","Verified"
"S000005092","ORF","YNL148C","ALF1","Alpha-tubulin folding protein; similar to mammalian cofactor B; Alf1p-GFP localizes to cytoplasmic microtubules; required for the folding of alpha-tubulin and may play an additional role in microtubule maintenance","","Verified"
"S000005093","ORF","YNL149C","PGA2","Essential protein required for maturation of Gas1p and Pho8p; involved in protein trafficking; GFP-fusion protein localizes to the ER and YFP-fusion protein to the nuclear envelope-ER network; null mutants have a cell separation defect","","Verified"
"S000005094","ORF","YNL150W","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; extensive overlap with PGA2/YNL149C, an uncharacterized gene with a proposed role in protein trafficking","","Dubious"
"S000005095","ORF","YNL151C","RPC31","RNA polymerase III subunit C31","ACP2|C31|DNA-directed RNA polymerase III subunit C31|RPC8","Verified"
"S000005096","ORF","YNL152W","INN1","Essential protein that associates with contractile actomyosin ring; required for ingression of the plasma membrane into the bud neck during cytokinesis; C2 domain, a membrane targeting module, is required for function; activates chitin synthase activity of Chs2p during cytokinesis","","Verified"
"S000005097","ORF","YNL153C","GIM3","Subunit of the heterohexameric cochaperone prefoldin complex; prefoldin binds specifically to cytosolic chaperonin and transfers target proteins to it; prefoldin complex also localizes to chromatin of actively transcribed genes in the nucleus and facilitates transcriptional elongation","PFD4|tubulin-binding prefolding complex subunit GIM3","Verified"
"S000005098","ORF","YNL154C","YCK2","Palmitoylated plasma membrane-bound casein kinase I (CK1) isoform; shares redundant functions with Yck1p in morphogenesis, proper septin assembly, endocytic trafficking, and glucose sensing; stabilized by Sod1p binding in the presence of glucose and oxygen, causing glucose repression of respiratory metabolism; involved in the phosphorylation and regulation of glucose sensor Rgt2p; YCK2 has a paralog, YCK1, that arose from the whole genome duplication","serine/threonine protein kinase YCK2","Verified"
"S000005099","ORF","YNL155W","CUZ1","Protein with a role in the ubiquitin-proteasome pathway; interacts with ubiquitinated protein, Cdc48p and the proteasomal regulatory particle; may protect cells from trivalent metalloid induced proteotoxicity; contains a PACE promoter element and is co-regulated with proteasome subunit genes; AN1-type zinc finger protein, with DHHC and ubiquitin-like domains (UBL); ortholog of ZFAND1, a human gene linked to cancer; protein abundance increases under DNA replication stress","","Verified"
"S000005100","ORF","YNL156C","NSG2","Protein involved in regulation of sterol biosynthesis; specifically stabilizes Hmg2p, one of two HMG-CoA isoenzymes that catalyze the rate-limiting step in sterol biosynthesis; homolog of mammalian INSIG proteins; NSG2 has a paralog, NSG1, that arose from the whole genome duplication","","Verified"
"S000005101","ORF","YNL157W","IGO1","Protein required for initiation of G0 program; prevents degradation of nutrient-regulated mRNAs via the 5'-3' mRNA decay pathway; phosphorylated by Rim15p; GFP protein localizes to the cytoplasm and nucleus; IGO1 has a paralog, IGO2, that arose from the whole genome duplication","phosphatase regulator","Verified"
"S000005102","ORF","YNL158W","PGA1","Essential component of GPI-mannosyltransferase II; complex is responsible for second mannose addition to GPI precursors as a partner of Gpi18p; required for maturation of Gas1p and Pho8p; has synthetic genetic interactions with secretory pathway genes","","Verified"
"S000005103","ORF","YNL159C","ASI2","Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; the Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and inner for ubiquitin-mediated degradation; acts with Asi1p and Asi3p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p, maintaining the repressed state of gene expression in the absence of inducing amino acids","","Verified"
"S000005104","ORF","YNL160W","YGP1","Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase entry; YGP1 has a paralog, SPS100, that arose from the whole genome duplication","","Verified"
"S000005105","ORF","YNL161W","CBK1","Serine/threonine protein kinase of the the RAM signaling network; Ndr/LATS family member; binds regulatory subunit Mob2p; involved in regulation of cellular morphogenesis, polarized growth, and septum destruction; phosphorylation by Cbk1p regulates localization and activity of Ace2p transcription factor and Ssd1p translational repressor; Cbk1p activity is regulated by both phosphorylation and specific localization; relocalizes to cytoplasm upon DNA replication stress","serine/threonine protein kinase CBK1","Verified"
"S000005106","ORF","YNL162W","RPL42A","Ribosomal 60S subunit protein L42A; homologous to mammalian ribosomal protein L36A, no bacterial homolog; RPL42A has a paralog, RPL42B, that arose from the whole genome duplication","eL42|L41A|L42A|L44e|ribosomal 60S subunit protein L42A|YL27","Verified"
"S000005107","ORF","YNL163C","RIA1","Cytoplasmic GTPase/eEF2-like factor involved in ribosomal biogenesis; with Sdo1p, a guanine nucleotide exchange factor (GEF), promotes release of Tif6p from 60S ribosomal subunits in the cytoplasm so that they can assemble with 40S subunits to generate mature ribosomes; required for quality control check of newly made large ribosomal subunits before they are released into the pool of translating ribosomes","EFL1|GTPase RIA1","Verified"
"S000005108","ORF","YNL164C","IBD2","Component of the BUB2-dependent spindle checkpoint pathway; interacts with Bfa1p and functions upstream of Bub2p and Bfa1p","","Verified"
"S000005109","ORF","YNL165W","","Putative protein of unknown function; YNL165W is not an essential gene","","Uncharacterized"
"S000005110","ORF","YNL166C","BNI5","Linker protein responsible for recruitment of myosin to the bud neck; interacts with the C-terminal extensions of septins Cdc11p and Shs1p and binds Myo1p to promote cytokinesis","","Verified"
"S000005111","ORF","YNL167C","SKO1","Basic leucine zipper transcription factor of the ATF/CREB family; forms a complex with Tup1p and Cyc8p to both activate and repress transcription; cytosolic and nuclear protein involved in osmotic and oxidative stress responses","ACR1","Verified"
"S000005112","ORF","YNL168C","FMP41","Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","","Uncharacterized"
"S000005113","ORF","YNL169C","PSD1","Phosphatidylserine decarboxylase of the mitochondrial inner membrane; converts phosphatidylserine to phosphatidylethanolamine; regulates mitochondrial fusion and morphology by affecting lipid mixing in the mitochondrial membrane and by influencing the ratio of long to short forms of Mgm1p; partly exposed to the mitochondrial intermembrane space; autocatalytically processed","phosphatidylserine decarboxylase 1","Verified"
"S000005114","ORF","YNL170W","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","","Dubious"
"S000005115","ORF","YNL171C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","","Dubious"
"S000005116","ORF","YNL172W","APC1","Largest subunit of the Anaphase-Promoting Complex/Cyclosome; APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis; localizes to nuclear foci that become diffuse upon DNA replication stress","anaphase promoting complex subunit 1","Verified"
"S000005117","ORF","YNL173C","MDG1","Plasma membrane protein; involved in G-protein mediated pheromone signaling pathway; overproduction suppresses bem1 mutations; MDG1 has a paralog, CRP1, that arose from the whole genome duplication","","Verified"
"S000005118","ORF","YNL174W","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene NOP13/YNL175C","","Dubious"
"S000005119","ORF","YNL175C","NOP13","Nucleolar protein found in preribosomal complexes; contains an RNA recognition motif (RRM); relative distribution to the nucleolus increases upon DNA replication stress","","Verified"
"S000005120","ORF","YNL176C","TDA7","Cell cycle-regulated gene of unknown function; promoter bound by Fkh2p; null mutant is sensitive to expression of the top1-T722A allele; TDA7 has a paralog, YDL211C, that arose from the whole genome duplication","","Verified"
"S000005121","ORF","YNL177C","MRPL22","Mitochondrial ribosomal protein of the large subunit","mitochondrial 54S ribosomal protein YmL22|uL22m|YmL22","Verified"
"S000005122","ORF","YNL178W","RPS3","Protein component of the small (40S) ribosomal subunit; has apurinic/apyrimidinic (AP) endonuclease activity; essential for viability; nascent Rps3p is bound by specific chaperone Yar1p during translation; homologous to mammalian ribosomal protein S3 and bacterial S3","ribosomal 40S subunit protein S3|rp13|S3|SUF14|uS3|YS3","Verified"
"S000005123","ORF","YNL179C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; deletion in cyr1 mutant results in loss of stress resistance","SRF6","Dubious"
"S000005124","ORF","YNL180C","RHO5","Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; regulated by phosphorylation and ubiquitination; likely involved in protein kinase C (Pkc1p)-dependent signal transduction pathway that controls cell integrity; necessary for oxidant and ramped heat stress-induced cell death; ortholog of mammalian RAC1","Rho family GTPase RHO5|YNS0","Verified"
"S000005125","ORF","YNL181W","PBR1","Putative oxidoreductase; required for cell viability","putative oxidoreductase","Uncharacterized"
"S000005126","ORF","YNL182C","IPI3","Component of the Rix1 complex and pre-replicative complexes (pre-RCs); required for processing of ITS2 sequences from 35S pre-rRNA; component of the pre-60S ribosomal particle with the dynein-related AAA-type ATPase Mdn1p; required for pre-RC formation and maintenance during DNA replication licensing; highly conserved protein which contains several WD40 motifs; IPI3 is an essential gene; other members include Rix1p, Ipi1p, and Ipi3p","chromatin-binding/pre-rRNA-processing protein IPI3","Verified"
"S000005127","ORF","YNL183C","NPR1","Protein kinase; stabilizes several plasma membrane amino acid transporters by antagonizing their ubiquitin-mediated degradation; phosphorylates Aly2p; negatively regulates Ldb19p-mediated endocytosis by phosphorylating Ldb19p; positively regulates activity of the three Mep ammonium transport proteins; mediates inhibitory phosphorylation of Mep2p and Par32p; TOR complex negatively regulates Npr1p activity; NPR1 has a paralog, PRR2, that arose from the whole genome duplication","serine/threonine protein kinase NPR1","Verified"
"S000005128","ORF","YNL184C","","Protein of unknown function; expressed at both mRNA and protein levels","","Uncharacterized"
"S000005129","ORF","YNL185C","MRPL19","Mitochondrial ribosomal protein of the large subunit","mitochondrial 54S ribosomal protein YmL19|uL11m|YmL19","Verified"
"S000005130","ORF","YNL186W","UBP10","Ubiquitin-specific protease, deubiquitinates Ub-protein moieties; interacts with proteins that function in rRNA production and ribosome biogenesis via its intrinsically disordered regions; stabilizes Rpa190p by deubiquitination; controls PCNA deubiquitylation; may regulate silencing by acting on Sir4p; involved in posttranscriptionally regulating Gap1p, possibly other transporters; localized to the nucleolus; null mutant phenotypes are functionally complemented by human USP36","DOT4|ubiquitin-specific protease UBP10","Verified"
"S000005131","ORF","YNL187W","SWT21","Protein involved in mRNA splicing; contains a consensus nuclear export signal (NES) sequence similar to the consensus sequence recognized by Crm1p; interacts genetically with Prp40p and Tgs1p; contains WD40 repeats","","Verified"
"S000005132","ORF","YNL188W","KAR1","Protein involved in karyogamy and spindle pole body duplication; involved in karyogamy during mating; involved in centrosome separation and duplication during mitosis; localizes to the half-bridge of the spindle pole body; interacts with Spc72p during karyogamy; also interacts with Cdc31p; essential gene","","Verified"
"S000005133","ORF","YNL189W","SRP1","Karyopherin alpha homolog; forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; involved in cotranslational protein degradation; binds ribosome-bound nascent polypeptides; Srp1p and Sts1p couple proteasomes to nascent polypeptides emerging from the ribosome for cotranslational degradation","KAP60|karyopherin alpha|SCM1","Verified"
"S000005134","ORF","YNL190W","","Hydrophilin essential in desiccation-rehydration process; cell wall protein; contains a putative GPI-attachment site","","Verified"
"S000005135","ORF","YNL191W","DUG3","Component of glutamine amidotransferase (GATase II); forms a complex with Dug2p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p)","glutamine amidotransferase subunit DUG3","Verified"
"S000005136","ORF","YNL192W","CHS1","Chitin synthase I; requires activation from zymogenic form in order to catalyze the transfer of N-acetylglucosamine (GlcNAc) to chitin; required for repairing the chitin septum during cytokinesis; transcription activated by mating factor","chitin synthase CHS1|USA4","Verified"
"S000005137","ORF","YNL193W","","Putative protein of unknown function; exhibits a two-hybrid interaction with Yhr151cp in a large-scale analysis","","Uncharacterized"
"S000005138","ORF","YNL194C","","Integral membrane protein; required for sporulation and plasma membrane sphingolipid content; similar to SUR7; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; GFP-fusion protein is more abundant at MCCs (membrane compartment occupied by Can1) in the presence of glycerol and oleate; YNL194C has a paralog, FMP45, that arose from the whole genome duplication","","Verified"
"S000005139","ORF","YNL195C","","Protein of unknown function; shares a promoter with YNL194C; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YNL195C has a paralog, HBT1, that arose from the whole genome duplication","","Uncharacterized"
"S000005140","ORF","YNL196C","SLZ1","Sporulation-specific protein with a leucine zipper motif; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation","","Verified"
"S000005141","ORF","YNL197C","WHI3","RNA binding protein that sequesters CLN3 mRNA in cytoplasmic foci; regulates genes involved in the cell cycle, sister chromatid cohesion, and stress response; acts as a cytoplasmic retention factor for Cdc28p and associated cyclins; regulates cell fate and dose-dependently regulates the critical cell size required for passage through Start; Tpk1p (PKA) mediated phosphorylation (S568) inhibits Whi3p function, decreasing its interaction with CLN3 mRNA; regulates ploidy","mRNA-binding protein WHI3","Verified"
"S000005142","ORF","YNL198C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","","Dubious"
"S000005143","ORF","YNL199C","GCR2","Transcriptional activator of genes involved in glycolysis; interacts and functions with the DNA-binding protein Gcr1p","","Verified"
"S000005144","ORF","YNL200C","NNR1","NADHX epimerase; catalyzes isomerization of (R)- and (S)-NADHX; homologous to AIBP in mammals and the N- terminal domain of YjeF in E.coli; enzyme is widespread in eukaryotes, prokaryotes and archaea; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","NADHX epimerase","Verified"
"S000005145","ORF","YNL201C","PSY2","Subunit of protein phosphatase PP4 complex; Pph3p and Psy2p form the active complex, Psy4p may provide additional substrate specificity; regulates recovery from the DNA damage checkpoint, the gene conversion- and single-strand annealing-mediated pathways of meiotic double-strand break repair and efficient Non-Homologous End-Joining (NHEJ) pathway; Pph3p and Psy2p localize to foci on meiotic chromosomes; putative homolog of mammalian R3","","Verified"
"S000005146","ORF","YNL202W","SPS19","Peroxisomal 2,4-dienoyl-CoA reductase; auxiliary enzyme of fatty acid beta-oxidation; homodimeric enzyme required for growth and sporulation on petroselineate medium; expression induced during late sporulation and in the presence of oleate","2,4-dienoyl-CoA reductase (NADPH)|SPX19","Verified"
"S000005147","ORF","YNL203C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","","Dubious"
"S000005148","ORF","YNL204C","SPS18","Protein of unknown function, contains a putative zinc-binding domain; expressed during sporulation; SPS18 has a paralog, GCS1, that arose from the whole genome duplication","SPX18","Verified"
"S000005149","ORF","YNL205C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","","Dubious"
"S000005150","ORF","YNL206C","RTT106","Histone chaperone; involved in regulation of chromatin structure in both transcribed and silenced chromosomal regions; affects transcriptional elongation; has a role in regulation of Ty1 transposition; interacts physically and functionally with Chromatin Assembly Factor-1 (CAF-1)","","Verified"
"S000005151","ORF","YNL207W","RIO2","Essential serine kinase involved in the processing of 20S pre-rRNA; involved in the processing of the 20S pre-rRNA into mature 18S rRNA; has similarity to Rio1p","protein kinase RIO2","Verified"
"S000005152","ORF","YNL208W","","Protein of unknown function; may interact with ribosomes, based on co-purification experiments; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; potential orthologs found in other fungi","","Verified"
"S000005153","ORF","YNL209W","SSB2","Cytoplasmic ATPase that is a ribosome-associated molecular chaperone; functions with J-protein partner Zuo1p; may be involved in the folding of newly-synthesized polypeptide chains; member of the HSP70 family; SSB2 has a paralog, SSB1, that arose from the whole genome duplication","Hsp70 family ATPase SSB2|YG103","Verified"
"S000005154","ORF","YNL210W","MER1","mRNA-binding protein required for meiosis-specific mRNA splicing; required for chromosome pairing and meiotic recombination; Mer1p regulon embraces four essential meiotic pre-mRNAs: REC107, HFM1, AMA1 and SPO22","","Verified"
"S000005155","ORF","YNL211C","MRX7","Protein that associates with mitochondrial ribosome; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YNL211C is not an essential gene","","Uncharacterized"
"S000005156","ORF","YNL212W","VID27","Cytoplasmic protein of unknown function; possibly involved in vacuolar protein degradation; not essential for proteasome-dependent degradation of fructose-1,6-bisphosphatase (FBPase); null mutants exhibit normal growth; contains two PH-like domains","","Verified"
"S000005157","ORF","YNL213C","RRG9","Protein of unknown function; null mutant lacks mitochondrial DNA and cannot grow on glycerol; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","","Verified"
"S000005158","ORF","YNL214W","PEX17","Membrane peroxin of the peroxisomal importomer complex; complex facilitates the import of peroxisomal matrix proteins; required for peroxisome biogenesis","PAS9","Verified"
"S000005159","ORF","YNL215W","IES2","Protein that associates with the INO80 chromatin remodeling complex; associates with the INO80 complex under low-salt conditions; essential for growth under anaerobic conditions; protein abundance increases in response to DNA replication stress","","Verified"
"S000005160","ORF","YNL216W","RAP1","Essential DNA-binding transcription regulator that binds many loci; involved in transcription activation, repression, chromatin silencing, telomere length maintenance; relocalizes to cytosol under hypoxia; conserved protein with N-terminal BRCT domain, central region with homology to Myb DNA binding domain, and C-terminal Rap1-specific protein-interaction domain (RCT domain); recruits Sir complex to telomeric DNA; present in quiescent cell telomere hyperclusters","DNA-binding transcription factor RAP1|GRC4|GRF1|TBA1|TUF1","Verified"
"S000005161","ORF","YNL217W","PPN2","Zn2+-dependent endopolyphosphatase; required with PPN1 to mobilize polyphosphate stores in response to phosphate starvation; member of the PPP-superfamily of metalloproteases; localizes to the vacuolar lumen via the MVB pathway; null mutant is highly sensitive to azaserine and resistant to sodium-O-vandate","putative serine/threonine-protein phosphatase","Verified"
"S000005162","ORF","YNL218W","MGS1","Protein with DNA-dependent ATPase and ssDNA annealing activities; involved in maintenance of genome; interacts functionally with DNA polymerase delta; homolog of human Werner helicase interacting protein (WHIP); forms nuclear foci upon DNA replication stress","ssDNA-dependent ATPase MGS1","Verified"
"S000005163","ORF","YNL219C","ALG9","Mannosyltransferase, involved in N-linked glycosylation; catalyzes the transfer of both the seventh mannose residue on B-arm and ninth mannose residue on the C-arm from Dol-P-Man to lipid-linked oligosaccharides; human homolog ALG9 can complement yeast null mutant; mutation of human homolog causes type 1 congenital disorders of glycosylation","dolichyl-P-Man:Man(6)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase","Verified"
"S000005164","ORF","YNL220W","ADE12","Adenylosuccinate synthase; catalyzes the first step in synthesis of adenosine monophosphate from inosine 5'monophosphate during purine nucleotide biosynthesis; exhibits binding to single-stranded autonomously replicating (ARS) core sequence","adenylosuccinate synthase|BRA9","Verified"
"S000005165","ORF","YNL221C","POP1","Subunit of RNase MRP, nuclear RNase P and telomerase complexes; RNase MRP cleaves pre-rRNA, nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs, while telomerase replenishes telomeric DNA; binds to the RPR1 RNA subunit in RNase P","ribonuclease P/MRP protein subunit POP1","Verified"
"S000005166","ORF","YNL222W","SSU72","Phosphatase and transcription/RNA-processing factor; associates with TFIIB and cleavage/polyadenylation factor Pta1p; exhibits phosphatase activity on serine-5 and serine-7 of the RNA polymerase II C-terminal domain; affects start site selection and transcriptional read through in vivo","RNA polymerase II subunit A C-terminal domain phosphatase","Verified"
"S000005167","ORF","YNL223W","ATG4","Conserved cysteine protease required for autophagy; cleaves Atg8p to a form required for autophagosome and Cvt vesicle generation","APG4|AUT2|cysteine protease ATG4","Verified"
"S000005168","ORF","YNL224C","SQS1","Protein that stimulates the ATPase and helicase activities of Prp43p; acts with Prp43p to stimulate 18s rRNA maturation by Nob1p; overexpression antagonizes the suppression of splicing defects by spp382 mutants; component of pre-ribosomal particles; relocalizes from nucleus to nucleolus upon DNA replication stress","PFA1","Verified"
"S000005169","ORF","YNL225C","CNM67","Component of the spindle pole body outer plaque; required for spindle orientation and mitotic nuclear migration; CNM67 has a paralog, ADY3, that arose from the whole genome duplication","","Verified"
"S000005170","ORF","YNL226W","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene JJJ1/YNL227C","","Dubious"
"S000005171","ORF","YNL227C","JJJ1","Co-chaperone that stimulates the ATPase activity of Ssa1p; required for a late step of ribosome biogenesis; associated with the cytosolic large ribosomal subunit; contains a J-domain; mutation causes defects in fluid-phase endocytosis","","Verified"
"S000005172","ORF","YNL228W","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF YNL227C/JJJ1","","Dubious"
"S000005173","ORF","YNL229C","URE2","Nitrogen catabolite repression transcriptional regulator; inhibits GLN3 transcription in good nitrogen source; role in sequestering Gln3p and Gat1p to the cytoplasm; has glutathione peroxidase activity and can mutate to acquire GST activity; self-assembly under limited nitrogen conditions creates [URE3] prion and releases catabolite repression","glutathione peroxidase|[URE3]","Verified"
"S000005174","ORF","YNL230C","ELA1","Elongin A; F-box protein that forms a heterodimer with Elc1p and is required for ubiquitin-dependent degradation of the RNA Polymerase II subunit Rpo21p; subunit of the Elongin-Cullin-Socs (ECS) ligase complex","elongin A","Verified"
"S000005175","ORF","YNL231C","PDR16","Phosphatidylinositol transfer protein (PITP); controlled by the multiple drug resistance regulator Pdr1p; localizes to lipid particles and microsomes; controls levels of various lipids, may regulate lipid synthesis; homologous to Pdr17p; protein abundance increases in response to DNA replication stress","phosphatidylinositol transporter|SFH3","Verified"
